ticker,name,sector,action,final_score,pre_score,quant_score,financial_score,qualitative_score,event_score,ev_score,risk_score,benchmark_score,reliability,expected_value_pct,up_probability,upside_pct,downside_pct,reselect_score,universe_status,financial_status,qualitative_note,event_note,cagr5,cagr10,one_year,sixty_day,sp5_diff,sp1_diff,max_dd5,max_dd1,price,price_time,gate_notes,missing_items
6701.T,NEC,その他,買付不可,0.0,42.0,32.4,55.0,48.0,50.0,62.3,34.2,26.6,60.0,6.13,58.1,23.2,16.6,57.0,除外,未取得,量子コンピューター/長期探索,イベント未接続,34.0,25.2,9.9,-0.2,21.6,-17.6,-39.5,-39.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意 / 長期探索テーマ,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
5108.T,ブリヂストン,その他,買付不可,0.0,40.7,25.4,55.0,50.0,50.0,49.8,64.2,14.8,48.0,-0.1,57.7,8.7,11.1,54.6,除外,未取得,質的データ未接続,イベント未接続,10.4,9.9,13.7,-9.5,-1.9,-13.8,-26.4,-15.4,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6702.T,富士通,その他,買付不可,0.0,40.2,27.3,55.0,48.0,50.0,55.2,44.8,15.8,60.0,2.61,57.5,15.6,13.9,50.9,除外,未取得,量子コンピューター/長期探索,イベント未接続,15.7,24.9,7.5,0.1,3.3,-20.0,-33.2,-33.0,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意 / 長期探索テーマ,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4519.T,中外製薬,その他,買付不可,0.0,39.6,24.7,55.0,50.0,50.0,55.2,51.7,15.7,48.0,2.61,57.2,14.4,12.2,50.4,除外,未取得,質的データ未接続,イベント未接続,15.7,21.7,6.9,-24.8,3.4,-20.6,-29.1,-28.8,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
1925.T,大和ハウス工業,その他,買付不可,0.0,38.4,19.5,55.0,50.0,50.0,48.7,63.8,9.8,48.0,-0.67,56.8,6.5,9.2,50.0,除外,未取得,質的データ未接続,イベント未接続,10.3,6.8,-8.0,-20.3,-2.1,-35.5,-21.6,-21.8,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9432.T,NTT,その他,買付不可,0.0,40.4,23.8,55.0,50.0,50.0,47.7,72.5,9.5,48.0,-1.15,57.5,6.1,10.0,49.8,除外,未取得,質的データ未接続,イベント未接続,8.2,7.9,0.1,0.4,-4.2,-27.4,-23.7,-7.7,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9020.T,JR東日本,その他,買付不可,0.0,39.7,22.6,55.0,50.0,50.0,46.1,63.6,13.9,48.0,-1.94,57.3,5.0,10.3,49.0,除外,未取得,質的データ未接続,イベント未接続,7.9,2.0,15.4,-9.4,-4.4,-12.2,-24.6,-18.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
3402.T,東レ,その他,買付不可,0.0,39.8,23.2,55.0,50.0,50.0,48.0,59.4,16.1,48.0,-1.0,57.3,7.2,11.1,47.8,除外,未取得,質的データ未接続,イベント未接続,11.8,3.9,15.5,-13.8,-0.6,-12.0,-26.5,-21.7,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6861.T,キーエンス,その他,買付不可,0.0,41.0,28.5,55.0,48.0,50.0,47.3,50.1,16.2,60.0,-1.34,57.8,10.6,16.7,46.9,除外,未取得,フィジカルAI/昇格検討,イベント未接続,7.6,16.5,23.6,15.2,-4.7,-3.9,-39.8,-17.9,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6367.T,ダイキン工業,その他,買付不可,0.0,41.5,29.9,55.0,50.0,50.0,41.4,43.3,20.8,56.0,-4.3,57.9,8.5,21.0,46.9,除外,未取得,質的データ未接続,イベント未接続,2.6,11.0,48.2,20.3,-9.7,20.6,-50.0,-14.5,23820.0,2026-06-18 15:09,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7203.T,トヨタ自動車,その他,買付不可,0.0,39.0,23.3,55.0,50.0,50.0,47.5,41.7,18.2,56.0,-1.25,57.0,11.7,17.5,44.6,除外,未取得,質的データ未接続,イベント未接続,13.8,13.7,18.7,-18.6,1.5,-8.9,-41.7,-26.8,2787.0,2026-06-18 15:09,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9766.T,コナミグループ,その他,買付不可,0.0,39.5,26.0,55.0,50.0,50.0,54.3,43.3,17.5,48.0,2.13,57.2,16.0,15.5,43.5,除外,未取得,質的データ未接続,イベント未接続,24.2,18.1,-3.4,-1.6,11.8,-30.9,-36.9,-30.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7267.T,ホンダ,その他,買付不可,0.0,37.7,20.3,55.0,50.0,50.0,44.1,50.6,11.5,48.0,-2.97,56.5,6.5,14.4,41.8,除外,未取得,質的データ未接続,イベント未接続,8.9,7.2,5.8,-5.2,-3.5,-21.8,-34.2,-24.1,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6098.T,リクルートHD,その他,買付不可,0.0,39.5,30.4,55.0,50.0,50.0,45.5,20.7,18.2,56.0,-2.23,57.2,15.1,24.4,41.6,除外,未取得,質的データ未接続,イベント未接続,12.7,24.0,21.0,51.2,0.3,-6.5,-58.1,-34.7,11240.0,2026-06-18 15:09,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7532.T,パン・パシフィック,その他,買付不可,0.0,37.3,20.7,55.0,50.0,50.0,47.8,42.1,12.4,48.0,-1.1,56.3,12.3,17.4,41.4,除外,未取得,質的データ未接続,イベント未接続,14.9,18.0,-6.1,-15.6,2.6,-33.6,-41.5,-26.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7269.T,スズキ,その他,買付不可,0.0,37.9,21.2,55.0,50.0,50.0,47.4,46.8,13.8,48.0,-1.31,56.6,9.7,14.7,41.0,除外,未取得,質的データ未接続,イベント未接続,12.0,12.4,7.5,-15.8,-0.3,-20.0,-35.1,-28.0,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6526.T,ソシオネクスト,その他,買付不可,0.0,39.7,30.2,55.0,50.0,50.0,42.9,7.2,35.0,48.0,-3.54,57.3,18.1,31.7,40.8,除外,未取得,質的データ未接続,イベント未接続,40.5,0.0,26.0,31.8,28.2,-1.6,-75.4,-50.4,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9697.T,カプコン,その他,買付不可,0.0,37.1,21.9,55.0,50.0,50.0,52.0,36.7,11.6,48.0,0.98,56.3,14.8,16.0,40.7,除外,未取得,質的データ未接続,イベント未接続,13.5,27.0,-27.2,-7.5,1.1,-54.8,-38.0,-38.0,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6758.T,ソニーグループ,その他,買付不可,0.0,37.1,20.6,55.0,50.0,50.0,46.8,38.4,9.7,56.0,-1.62,56.3,10.8,16.7,40.2,除外,未取得,質的データ未接続,イベント未接続,10.0,19.5,-9.1,2.0,-2.3,-36.6,-39.8,-33.5,3232.0,2026-06-18 15:09,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9202.T,ANA HD,その他,買付不可,0.0,36.9,16.6,55.0,50.0,50.0,41.1,59.6,7.7,48.0,-4.43,56.2,1.4,11.0,36.4,除外,未取得,質的データ未接続,イベント未接続,2.8,0.0,3.8,-12.4,-9.5,-23.7,-26.2,-21.8,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
