updated_at,ticker,company,usefulness_level,primary_purpose,official_two_earnings_status,target_formula_available_points,proxy_score_100,sales_momentum_pctile,profit_momentum_pctile,price_1y_pctile,liquidity_pctile,drawdown_resilience_pctile,revenue_yoy_pct,revenue_cagr_3period_pct,profit_yoy_pct,profit_cagr_3period_pct,ret1y_pct,volume_ratio20,max_drawdown60_pct,score_use_status,required_next_step,proxy_rank
2026/05/22 13:56,6701.T,NEC,B 観察継続,時流テーマ,未入力,50,55.9,29.4,85.9,40.9,41.9,66.7,4.7,1.5,40.3,38.4,14.4,0.37,-15.8,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,22
2026/05/22 13:56,8750.T,第一生命HD,A 詳細確認,NISA 1年保有,未入力,50,55.5,54.4,48.1,69.7,51.5,67.7,14.5,1.3,4.8,18.2,58.2,0.42,-15.7,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,23
2026/05/22 13:56,4005.T,住友化学,D 低優先・比較のみ,景気・マクロ感応,未入力,5,55.3,,,78.8,44.9,30.3,,,,,76.1,0.38,-22.4,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,1801.T,大成建設,D 低優先・比較のみ,景気・マクロ感応,未入力,5,55,,,77.8,72.7,3,,,,,71.8,0.56,-33.4,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,8035.T,東京エレクトロン,A 詳細確認,時流テーマ,未入力,50,54.5,54.4,35.3,91.9,75.3,45.5,0.5,15.5,-10.4,17,108.9,0.57,-19.5,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,24
2026/05/22 13:56,7013.T,IHI,B 観察継続,テンバガー探索,未入力,50,54.3,56.9,58.8,55.6,81.8,1,1,11.5,15.3,,36.6,0.64,-42.3,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,25
2026/05/22 13:56,6098.T,リクルートHD,B 観察継続,補助比較,未入力,50,54.1,39.2,69.9,39.4,26.8,92.9,3.9,4,28.5,25.2,14.1,0.32,-9.9,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,26
2026/05/22 13:56,8725.T,MS&AD,A 詳細確認,NISA 1年保有,未入力,50,53.3,0,76.3,53.5,94.9,90.9,-15,-7.2,20.6,64,34.3,0.97,-11.1,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,27
2026/05/22 13:56,4523.T,エーザイ,D 低優先・比較のみ,補助比較,未入力,5,53.1,,,34.3,85.9,48.5,,,,,7.2,0.68,-19,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,8053.T,住友商事,D 低優先・比較のみ,景気・マクロ感応,未入力,5,52.8,,,84.8,2,55.6,,,,,92.3,0.2,-17.9,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,9434.T,ソフトバンク,B 観察継続,NISA 1年保有,未入力,50,51.8,66.2,37.9,32.3,39.4,99,7.6,7.6,5.4,9.1,4.7,0.36,-4.1,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,28
2026/05/22 13:56,4543.T,テルモ,C データ補完後に判定,時流テーマ,未入力,5,51.4,,,12.1,79.8,81.8,,,,,-13.5,0.6,-13.6,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,1803.T,清水建設,D 低優先・比較のみ,景気・マクロ感応,未入力,5,51.4,,,70.7,63.6,10.1,,,,,64.7,0.47,-27.6,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,2503.T,キリンHD,C データ補完後に判定,NISA 1年保有,未入力,5,51.2,,,52.5,16.7,83.8,,,,,33.6,0.3,-12.8,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,7974.T,任天堂,B 観察継続,指数比較・大型代表,未入力,50,50.5,96.1,39.4,1,72.7,5.1,98.6,17.6,27.5,-17.5,-35.1,0.56,-32.8,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,29
2026/05/22 13:56,6367.T,ダイキン工業,B 観察継続,時流テーマ,未入力,50,49.8,53.9,33.9,60.6,30.3,96,5.5,6.8,3.3,2.9,49.6,0.33,-9.3,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,30
2026/05/22 13:56,4503.T,アステラス製薬,D 低優先・比較のみ,補助比較,未入力,5,49.8,,,71.7,8.1,58.6,,,,,66.6,0.27,-17,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,1802.T,大林組,D 低優先・比較のみ,景気・マクロ感応,未入力,5,49.6,,,62.6,66.7,13.1,,,,,51.4,0.49,-26.2,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,5019.T,出光興産,D 低優先・比較のみ,景気・マクロ感応,未入力,5,48.9,,,64.6,33.8,40.4,,,,,55.6,0.34,-20.7,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,4502.T,武田薬品,C データ補完後に判定,NISA 1年保有,未入力,5,48.8,,,48.5,12.1,85.9,,,,,26.5,0.29,-12.4,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,7735.T,SCREEN HD,A 詳細確認,時流テーマ,未入力,50,48.3,41.2,34.2,89.9,84.8,19.7,-3.1,9.5,-9.7,14.1,106.9,0.67,-24.5,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,31
2026/05/22 13:56,7011.T,三菱重工,B 観察継続,時流テーマ,未入力,50,48,23,64.9,50.5,88.4,19.7,-1.1,3.3,26.7,22.7,30.7,0.7,-24.5,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,32
2026/05/22 13:56,4188.T,三菱ケミカルG,D 低優先・比較のみ,景気・マクロ感応,未入力,5,47.6,,,54.5,67.7,17.2,,,,,36.3,0.5,-25.4,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,1812.T,鹿島,D 低優先・比較のみ,景気・マクロ感応,未入力,5,47.2,,,68.7,30.3,31.8,,,,,57.7,0.33,-22.1,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,9766.T,コナミグループ,D 低優先・比較のみ,補助比較,未入力,5,46,,,30.3,26.8,88.9,,,,,3.7,0.32,-12,データ不足,直近2回決算と会社予想修正を公式資料から入力,
