date,quote_time_jst,captured_at_jst,symbol,price_yen,quantity,market_value_yen,quote_status,source
2026-07-22,13:59:30,2026-07-22 14:00:00,9432.T,150.8,500,75400,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:27,2026-07-22 14:00:00,9433.T,2844,23,65412,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:26,2026-07-22 14:00:00,9697.T,3375,7,23625,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:14,2026-07-22 14:00:00,9983.T,78340,2,156680,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:22,2026-07-22 15:00:00,1801.T,13715,3,41145,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:18,2026-07-22 15:00:00,1812.T,5617,14,78638,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:17,2026-07-22 15:00:00,5333.T,6231,5,31155,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:25,2026-07-22 15:00:00,5803.T,4765,8,38120,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:25,2026-07-22 15:00:00,6146.T,67940,1,67940,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:21,2026-07-22 15:00:00,6383.T,6395,6,38370,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:22,2026-07-22 15:00:00,6501.T,4834,15,72510,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:22,2026-07-22 15:00:00,6503.T,5670,14,79380,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:13,2026-07-22 15:00:00,6504.T,12930,6,77580,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:20,2026-07-22 15:00:00,6762.T,3109,23,71507,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:23,2026-07-22 15:00:00,6861.T,72220,2,144440,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:23,2026-07-22 15:00:00,7012.T,2740,25,68500,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:25,2026-07-22 15:00:00,7203.T,2944,23,67712,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:14,2026-07-22 15:00:00,7269.T,2058.5,20,41170,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:21,2026-07-22 15:00:00,7532.T,865.7,70,60599,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:22,2026-07-22 15:00:00,7832.T,4106,16,65696,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:25,2026-07-22 15:00:00,8035.T,65700,1,65700,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:25,2026-07-22 15:00:00,8306.T,3666,18,65988,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:24,2026-07-22 15:00:00,8316.T,7081,13,92053,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:24,2026-07-22 15:00:00,8411.T,8533,10,85330,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:17,2026-07-22 15:00:00,8591.T,6555,13,85215,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:21,2026-07-22 15:00:00,8630.T,6879,12,82548,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:24,2026-07-22 15:00:00,8750.T,1893.5,10,18935,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:24,2026-07-22 15:00:00,8766.T,7940,12,95280,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:23,2026-07-22 15:00:00,8795.T,5039,14,70546,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:24,2026-07-22 15:00:00,9432.T,151.8,500,75900,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:25,2026-07-22 15:00:00,9433.T,2861.5,23,65814.5,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:10,2026-07-22 15:00:00,9697.T,3381,7,23667,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:03:21,2026-07-22 15:00:00,9983.T,78260,2,156520,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,1801.T,13630,3,40890,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,1812.T,5598,14,78372,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,5333.T,6219,5,31095,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,5803.T,4751,8,38008,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,6146.T,68590,1,68590,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,6383.T,6379,6,38274,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,6501.T,4807,15,72105,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,6503.T,5629,14,78806,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,6504.T,12935,6,77610,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,6762.T,3107,23,71461,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,6861.T,72110,2,144220,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,7012.T,2736.5,25,68412.5,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,7203.T,2939,23,67597,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,7269.T,2056,20,41120,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,7532.T,866.3,70,60641,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,7832.T,4095,16,65520,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,8035.T,65960,1,65960,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,8306.T,3668,18,66024,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,15:30:00,2026-07-22 16:00:00,8316.T,7072,13,91936,OK,Yahoo Finance JP full-market screener (delayed)
