updated_at,ticker,month,month_close,monthly_return_pct,monthly_volume,source
2026/05/20 01:43,8058.T,2021-06,1020.67,1.123,179931000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-07,1103.67,8.132,241988700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-08,1178.67,6.796,279197700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-09,1204,2.149,439356000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-10,1130.33,-6.118,313422900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-11,1217.33,7.697,215514000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-12,1292.33,6.161,242763300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-01,1290.33,-0.155,283376400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-02,1533.67,18.858,390066600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-03,1461,-4.738,277955100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-04,1477.67,1.141,293739900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-05,1345.67,-8.933,337419600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-06,1316,-2.205,273901200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-07,1521.33,15.603,284312700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-08,1322.67,-13.059,232888200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-09,1343.67,1.588,269894100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-10,1535,14.24,382190700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-11,1427.67,-6.992,220293600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2022-12,1445.33,1.237,216749700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-01,1543,6.757,284029800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-02,1583.67,2.636,351389400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-03,1672.67,5.62,274948800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-04,1862,11.319,381432600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-05,2310,24.06,782044800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-06,2421.67,4.834,404196600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-07,2398.67,-0.95,421918500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-08,2376,-0.945,366849300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-09,2318.33,-2.427,382850400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-10,2295.33,-0.992,342442200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-11,2253.5,-1.823,263821000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2023-12,2565,13.823,262481400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-01,3205,24.951,414036100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-02,3495,9.048,315219300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-03,3620,3.577,246423000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-04,3303,-8.757,293577000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-05,3148,-4.693,205340000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-06,3144,-0.127,204362300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-07,3013,-4.167,290137100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-08,2952.5,-2.008,225033400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-09,2835.5,-3.963,189008900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-10,2525.5,-10.933,243375600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-11,2604,3.108,252892700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2024-12,2489.5,-4.397,176841200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-01,2496.5,0.281,262657800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-02,2626.5,5.207,247837800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-03,2712,3.255,327714200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-04,2935,8.223,235876200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-05,2888,-1.601,209355400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-06,2988,3.463,202187700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-07,3354,12.249,204215100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-08,3531,5.277,196850900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-09,3712,5.126,206114700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-10,3702,-0.269,158074400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-11,3586,-3.133,175279900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2025-12,4097,14.25,179192300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2026-01,5290,29.119,208679600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2026-02,5317,0.51,281155000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2026-03,4990,-6.15,208730200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2026-04,5500,10.22,150106800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2026-05,5519,0.345,7798600,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2018-05,3620,,548855000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2018-06,3676,1.547,373523000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2018-07,4016,9.249,463229000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2018-08,4146,3.237,360883000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2018-09,3516,-15.195,389782000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2018-10,3461,-1.564,442448000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2018-11,2928.5,-15.386,442782000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2018-12,3383,15.52,367989000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-01,3044,-10.021,436325000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-02,3156,3.679,405160000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-03,3800,20.406,501064000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-04,3870,1.842,293069000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-05,3949,2.041,273840000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-06,4010,1.545,270211000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-07,4029,0.474,267880000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-08,4002,-0.67,261518000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-09,3862,-3.498,263837000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-10,4235,9.658,290742000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-11,4397,3.825,307703000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2019-12,4077,-7.278,193634000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-01,3627,-11.038,208480000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-02,4161,14.723,397433000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-03,4465,7.306,287607000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-04,4354,-2.486,190353000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-05,4801,10.266,237338000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-06,4644,-3.27,191584000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-07,5674,22.179,271382000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-08,5966,5.146,250441000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-09,5698,-4.492,170287000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-10,5926,4.001,283224000,Yahoo Finance chart API 1mo
2026/05/20 01:43,7974.T,2020-11,6583,11.087,311882000,Yahoo Finance chart API 1mo
