updated_at,benchmark,benchmark_ticker,trigger_pct,event_date,benchmark_daily_return_pct,ticker,company,structural_rating,stock_return_1d_pct,benchmark_return_1d_pct,excess_1d_pct,stock_return_5d_pct,benchmark_return_5d_pct,excess_5d_pct,stock_return_20d_pct,benchmark_return_20d_pct,excess_20d_pct
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-12,-2.03,6146.T,ディスコ,A-,0.32,-0.22,0.54,1.70,1.28,0.42,-4.42,-2.18,-2.24
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-12,-2.03,6920.T,レーザーテック,A,-0.93,-0.22,-0.71,-0.45,1.28,-1.73,20.55,-2.18,22.72
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-12,-2.03,6857.T,アドバンテスト,B,1.19,-0.22,1.42,-3.04,1.28,-4.32,-11.79,-2.18,-9.61
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-12,-2.03,6762.T,TDK,B,-1.51,-0.22,-1.29,6.12,1.28,4.84,-4.10,-2.18,-1.92
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-06,-1.59,8035.T,東京エレクトロン,S,-6.87,1.38,-8.24,-8.26,-1.26,-6.99,-7.33,-1.75,-5.58
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-06,-1.59,7735.T,SCREEN HD,A,-8.51,1.38,-9.89,-10.70,-1.26,-9.44,-12.20,-1.75,-10.45
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-06,-1.59,6146.T,ディスコ,A-,-9.54,1.38,-10.91,-5.31,-1.26,-4.04,-8.37,-1.75,-6.62
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-06,-1.59,6920.T,レーザーテック,A,-8.86,1.38,-10.23,12.73,-1.26,13.99,12.46,-1.75,14.21
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-06,-1.59,6857.T,アドバンテスト,B,-11.03,1.38,-12.40,-8.01,-1.26,-6.75,-14.59,-1.75,-12.84
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-03-06,-1.59,6762.T,TDK,B,-6.17,1.38,-7.54,-3.75,-1.26,-2.49,-8.85,-1.75,-7.11
