再計算順位,コード,銘柄,旧10社,再選定点,最終扱い,5年CAGR,10年CAGR,直近1年騰落率,60日騰落率,5年S&P差,直近1年S&P差,5年最大下落率,直近1年最大下落率,月次勝率,取得項目数,除外理由,確認事項
66,7532.T,パン・パシフィック,,41.4,除外,14.9,18,-6.1,-15.6,2.6,-33.6,-41.5,-26.5,55,8,直近1年でS&P500に劣後 / 直近60日が弱い,
67,7269.T,スズキ,,41,除外,12,12.4,7.5,-15.8,-0.3,-20,-35.1,-28,51.7,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い,
68,6526.T,ソシオネクスト,,40.8,除外,40.5,,26,31.8,28.2,-1.6,-75.4,-50.4,46.5,7,直近1年でS&P500に劣後 / 直近1年の下落率が大きい / 5年最大下落率が大きい,
69,9697.T,カプコン,,40.7,除外,13.5,27,-27.2,-7.5,1.1,-54.8,-38,-38,58.3,8,直近1年でS&P500に劣後 / 直近1年の下落率が大きい,
70,4005.T,住友化学,,40.4,除外,2.1,4.9,79.5,7.3,-10.3,51.9,-47.2,-22.4,48.3,8,5年でS&P500に劣後,
71,6758.T,ソニーグループ,,40.2,除外,10,19.5,-9.1,2,-2.3,-36.6,-39.8,-33.5,63.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
72,9202.T,ANA HD,,36.4,除外,2.8,0,3.8,-12.4,-9.5,-23.7,-26.2,-21.8,48.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
73,6273.T,SMC,,34.7,除外,2,10.7,27.2,-7,-10.3,-0.3,-52.7,-23.4,50,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
74,6902.T,デンソー,,34.6,除外,2.5,8.5,0.8,-14,-9.8,-26.8,-43.1,-19.5,55,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
75,2801.T,キッコーマン,,34.3,除外,0.4,7,7.2,-4.9,-12,-20.3,-38.2,-14.3,41.7,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
76,4452.T,花王,,32.4,除外,0.3,2,-6,-8.1,-12.1,-33.5,-31.9,-15.4,46.7,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
77,6645.T,オムロン,,32.2,除外,-7,6.3,50.7,4.4,-19.4,23.2,-69.1,-22.7,53.3,8,5年でS&P500に劣後 / 5年最大下落率が大きい,
78,9022.T,JR東海,,31.9,除外,2,-0.2,11.3,-24.1,-10.3,-16.3,-30.3,-27.5,50,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い,
79,2432.T,ディー・エヌ・エー,,31.7,除外,5.5,3.5,-0.2,5.4,-6.9,-27.7,-46.4,-21,53.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
80,7832.T,バンダイナムコHD,,31.4,除外,9.1,17.6,-19.8,-9.9,-3.3,-47.3,-35.1,-35.1,51.7,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の下落率が大きい,
81,4385.T,メルカリ,,30.4,除外,-5,,71.5,12.9,-17.3,44,-77.2,-27.1,46.7,7,5年でS&P500に劣後 / 5年最大下落率が大きい,
82,2502.T,アサヒGHD,,29,除外,-0.5,4.3,-17,-11.6,-12.8,-44.5,-29.2,-23.1,51.7,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
83,7270.T,SUBARU,,26.9,除外,6.3,-1.6,-2.6,-15.1,-6.1,-30.1,-39.6,-34.9,55,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い,
84,4543.T,テルモ,,26,除外,3.7,8.9,-10.7,18,-8.7,-38.3,-38.9,-31.3,48.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
85,9021.T,JR西日本,,23.5,除外,-1.2,-0.5,-13.7,-20.7,-13.6,-41.3,-32.9,-24.3,46.7,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い,
86,7974.T,任天堂,,21.3,除外,3.3,18.8,-41.3,-18.6,-9.1,-68.8,-52.1,-52.1,53.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 直近1年の下落率が大きい,
87,4911.T,資生堂,,18.6,除外,-18.9,-0.1,19.9,-14.9,-31.2,-7.6,-72.8,-26.7,45,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 5年最大下落率が大きい,
88,8113.T,ユニ・チャーム,,17.8,除外,-7.3,3.7,-13.5,-11.6,-19.6,-41.1,-54,-23.6,48.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
89,4568.T,第一三共,,17.3,除外,2.7,13.7,-30.4,-11.6,-9.6,-58,-57.7,-39.3,46.7,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の下落率が大きい / 5年最大下落率が大きい,
90,4751.T,サイバーエージェント,,16,除外,-8.6,8.3,-10.5,-4.3,-21,-38,-67.4,-32.1,51.7,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 5年最大下落率が大きい,
91,4523.T,エーザイ,,15.9,除外,-9.1,-3,2.6,-23.2,-21.5,-24.9,-69.5,-24.4,41.7,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 5年最大下落率が大きい,
