順位,コード,銘柄,長期安定性スコア,判定,データ年数,5年CAGR,10年CAGR,5年S&P差,5年日経差,5年年率ボラ,5年最大下落率,月次勝率,S&P相関,S&Pベータ,リターン点,安定性点,継続性点,確認事項
88,3659.T,ネクソン,18.3,長期安定性は弱い,10,-2,10.1,-14.3,-19.3,36.2,-50.5,45,0.15,0.35,26.9,12.1,13.3,S&P500に劣後 / 大きな下落経験あり / 値動きが大きい / 上昇月の比率が低い
89,4661.T,オリエンタルランド,15.7,長期安定性は弱い,10,-7,4.7,-19.4,-24.4,23.5,-62.2,48.3,0.22,0.33,18.2,20.7,4.7,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
90,4689.T,LINEヤフー,15.6,長期安定性は弱い,10,-3.4,-0.2,-15.8,-20.7,30.1,-60.3,43.3,0.36,0.69,24.4,10.3,8.9,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
91,9843.T,ニトリHD,13.8,長期安定性は弱い,10,-7.1,1.9,-19.5,-24.4,32.3,-52.9,46.7,0.2,0.41,18.1,16.2,3.6,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
92,4751.T,サイバーエージェント,9.6,長期安定性は弱い,10,-8.6,8.3,-21,-25.9,31.6,-67.4,51.7,0.27,0.55,15.6,9.5,0,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
93,4385.T,メルカリ,8.7,長期安定性は弱い,7.9,-5,,-17.3,-22.3,42,-77.2,46.7,0.36,0.96,21.8,0,0,S&P500に劣後 / 大きな下落経験あり / 値動きが大きい / 上昇月の比率が低い / 10年データは不足
94,6645.T,オムロン,7.7,長期安定性は弱い,10,-7,6.3,-19.4,-24.3,38.5,-69.1,53.3,0.37,0.9,18.3,1.2,0,S&P500に劣後 / 大きな下落経験あり / 値動きが大きい
95,4755.T,楽天グループ,6.8,長期安定性は弱い,10,-10.1,-4.1,-22.4,-27.4,32.1,-64.7,43.3,0.44,0.9,13.1,4.4,0,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
96,4523.T,エーザイ,5.9,長期安定性は弱い,10,-9.1,-3,-21.5,-26.4,39.1,-69.5,41.7,-0.04,-0.11,14.7,0,0,S&P500に劣後 / 大きな下落経験あり / 値動きが大きい / 上昇月の比率が低い
97,6594.T,ニデック,3.4,長期安定性は弱い,10,-15.1,3.3,-27.4,-32.4,35.2,-71.8,55,0.44,0.99,4.6,4.3,0,S&P500に劣後 / 大きな下落経験あり / 値動きが大きい
98,6869.T,シスメックス,1.3,長期安定性は弱い,10,-17.2,-5.4,-29.6,-34.5,30.6,-74.2,48.3,0.44,0.86,1,2.6,0,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
99,4911.T,資生堂,0,長期安定性は弱い,10,-18.9,-0.1,-31.2,-36.2,34.8,-72.8,45,0.02,0.04,0,0,0,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
100,2413.T,エムスリー,0,長期安定性は弱い,10,-27.7,-0.8,-40.1,-45,34.1,-86.8,41.7,0.25,0.54,0,0,0,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
